Overall Category,NAICs Category,NAICs,Zip Code,Count
Wholesale,42435006,Clothing And Clothing Accessories Merchant Wholesa,10018,83
Wholesale,42435006,Clothing And Clothing Accessories Merchant Wholesa,10001,27
Wholesale,42394005,"Jewelry, Watch, Precious Stone, And Precious Metal",10018,1
Wholesale,42394005,"Jewelry, Watch, Precious Stone, And Precious Metal",10001,1
Wholesale,42435073,Clothing And Clothing Accessories Merchant Wholesa,10018,32
Wholesale,42435073,Clothing And Clothing Accessories Merchant Wholesa,10001,2
Wholesale,42435018,Clothing And Clothing Accessories Merchant Wholesa,10018,17
Wholesale,42435018,Clothing And Clothing Accessories Merchant Wholesa,10001,4
Wholesale,42435048,Clothing And Clothing Accessories Merchant Wholesa,10001,4
Wholesale,42435026,Clothing And Clothing Accessories Merchant Wholesa,10001,2
Wholesale,42435026,Clothing And Clothing Accessories Merchant Wholesa,10018,11
Wholesale,42394012,"Jewelry, Watch, Precious Stone, And Precious Metal",10018,4
Wholesale,42394012,"Jewelry, Watch, Precious Stone, And Precious Metal",10001,8
Wholesale,42435011,Clothing And Clothing Accessories Merchant Wholesa,10001,1
Wholesale,42435001,Clothing And Clothing Accessories Merchant Wholesa,10018,6
Wholesale,42435001,Clothing And Clothing Accessories Merchant Wholesa,10001,2
Wholesale,42435038,Clothing And Clothing Accessories Merchant Wholesa,10018,4
Wholesale,42435038,Clothing And Clothing Accessories Merchant Wholesa,10001,4
Wholesale,42322015,Home Furnishing Merchant Wholesalers,10001,1
Wholesale,42435054,Clothing And Clothing Accessories Merchant Wholesa,10018,1
Wholesale,42435020,Clothing And Clothing Accessories Merchant Wholesa,10001,1
Wholesale,42435055,Clothing And Clothing Accessories Merchant Wholesa,10018,1
Wholesale,42435055,Clothing And Clothing Accessories Merchant Wholesa,10001,4
Wholesale,42435072,Clothing And Clothing Accessories Merchant Wholesa,10018,1
Wholesale,42435072,Clothing And Clothing Accessories Merchant Wholesa,10001,1
Wholesale,42322028,Home Furnishing Merchant Wholesalers,10018,1
Wholesale,42435061,Clothing And Clothing Accessories Merchant Wholesa,10018,1
Wholesale,42435061,Clothing And Clothing Accessories Merchant Wholesa,10001,1
Wholesale,42435010,Clothing And Clothing Accessories Merchant Wholesa,10018,1
Wholesale,42435058,Clothing And Clothing Accessories Merchant Wholesa,10001,4
Wholesale,42435058,Clothing And Clothing Accessories Merchant Wholesa,10018,2
Wholesale,42435032,Clothing And Clothing Accessories Merchant Wholesa,10001,3
Wholesale,42435032,Clothing And Clothing Accessories Merchant Wholesa,10018,1
Wholesale,42435050,Clothing And Clothing Accessories Merchant Wholesa,10018,1
Wholesale,42435024,Clothing And Clothing Accessories Merchant Wholesa,10018,1
Wholesale,42435024,Clothing And Clothing Accessories Merchant Wholesa,10001,1
Wholesale,42435014,Clothing And Clothing Accessories Merchant Wholesa,10018,1
Wholesale,42322011,Home Furnishing Merchant Wholesalers,10001,1
Wholesale,42435074,Clothing And Clothing Accessories Merchant Wholesa,10018,1
Wholesale,42435070,Clothing And Clothing Accessories Merchant Wholesa,10018,1
Wholesale,42435067,Clothing And Clothing Accessories Merchant Wholesa,10018,1
Wholesale,42435062,Clothing And Clothing Accessories Merchant Wholesa,10018,1
Wholesale,42394001,"Jewelry, Watch, Precious Stone, And Precious Metal",10018,2
Manufacturing,31525018,Cut And Sew Apparel Manufacturing (Except Contract,10018,5
Manufacturing,31525006,Cut And Sew Apparel Manufacturing (Except Contract,10001,1
Manufacturing,31599017,Apparel Accessories And Other Apparel Manufacturin,10018,82
Manufacturing,31599017,Apparel Accessories And Other Apparel Manufacturin,10001,14
Manufacturing,33991006,Jewelry And Silverware Manufacturing,10018,17
Manufacturing,33991006,Jewelry And Silverware Manufacturing,10001,13
Manufacturing,31525033,Cut And Sew Apparel Manufacturing (Except Contract,10018,23
Manufacturing,31525033,Cut And Sew Apparel Manufacturing (Except Contract,10001,3
Manufacturing,31512011,Apparel Knitting Mills,10001,2
Manufacturing,31525044,Cut And Sew Apparel Manufacturing (Except Contract,10001,21
Manufacturing,31525034,Cut And Sew Apparel Manufacturing (Except Contract,10018,7
Manufacturing,31599034,Apparel Accessories And Other Apparel Manufacturin,10001,4
Manufacturing,31599034,Apparel Accessories And Other Apparel Manufacturin,10018,5
Manufacturing,31699012,Other Leather And Allied Product Manufacturing,10001,1
Manufacturing,31699012,Other Leather And Allied Product Manufacturing,10018,3
Manufacturing,31599001,Apparel Accessories And Other Apparel Manufacturin,10018,2
Manufacturing,31599001,Apparel Accessories And Other Apparel Manufacturin,10001,2
Manufacturing,31525054,Cut And Sew Apparel Manufacturing (Except Contract,10001,1
Manufacturing,31525054,Cut And Sew Apparel Manufacturing (Except Contract,10018,10
Manufacturing,31525039,Cut And Sew Apparel Manufacturing (Except Contract,10018,1
Manufacturing,33991019,Jewelry And Silverware Manufacturing,10018,1
Manufacturing,31699008,Other Leather And Allied Product Manufacturing,10018,5
Manufacturing,31699008,Other Leather And Allied Product Manufacturing,10001,3
Manufacturing,31525043,Cut And Sew Apparel Manufacturing (Except Contract,10018,4
Manufacturing,31525043,Cut And Sew Apparel Manufacturing (Except Contract,10001,5
Manufacturing,31599029,Apparel Accessories And Other Apparel Manufacturin,10018,4
Manufacturing,31699001,Other Leather And Allied Product Manufacturing,10018,1
Manufacturing,31699001,Other Leather And Allied Product Manufacturing,10001,2
Manufacturing,31525010,Cut And Sew Apparel Manufacturing (Except Contract,10018,1
Manufacturing,31512013,Apparel Knitting Mills,10018,1
Manufacturing,31599032,Apparel Accessories And Other Apparel Manufacturin,10001,2
Manufacturing,31599032,Apparel Accessories And Other Apparel Manufacturin,10018,4
Manufacturing,31525052,Cut And Sew Apparel Manufacturing (Except Contract,10018,2
Manufacturing,31599007,Apparel Accessories And Other Apparel Manufacturin,10018,1
Manufacturing,31525048,Cut And Sew Apparel Manufacturing (Except Contract,10001,3
Manufacturing,31525035,Cut And Sew Apparel Manufacturing (Except Contract,10018,4
Manufacturing,31521002,Cut And Sew Apparel Contractors,10018,5
Manufacturing,31512008,Apparel Knitting Mills,10001,1
Manufacturing,31512008,Apparel Knitting Mills,10018,2
Manufacturing,31525037,Cut And Sew Apparel Manufacturing (Except Contract,10018,5
Manufacturing,31525015,Cut And Sew Apparel Manufacturing (Except Contract,10018,1
Manufacturing,33999305,"Fastener, Button, Needle, And Pin Manufacturing",10018,3
Manufacturing,31512002,Apparel Knitting Mills,10001,5
Manufacturing,31512002,Apparel Knitting Mills,10018,2
Manufacturing,31525055,Cut And Sew Apparel Manufacturing (Except Contract,10018,3
Manufacturing,33999309,"Fastener, Button, Needle, And Pin Manufacturing",10018,1
Manufacturing,31599008,Apparel Accessories And Other Apparel Manufacturin,10001,1
